Título,Comuna,Metros Cuadrados,Dormitorios,Baños,Estacionamientos,Precio_CLP,Metros_Imputados
230.000EXCELENTEESTUDIOMARIOKREUTZBERGER/METROSANTAANA,Santiago,35.0,1.0,1.0,0.0,230.0,True
1D1B-Terraza-A1cuadradeGranAvenida,SanMiguel,38.0,1.0,1.0,1.0,340000.0,False
SearriendahermosodepartamentoSTUDIOenEstaciónCentral,EstaciónCentral,35.0,1.0,1.0,0.0,220000.0,True
ArriendoDeptoCatedral#2916E3174m2,Santiago,74.0,3.0,2.0,0.0,480000.0,False
ArriendoDeptoEstudio-MetroSantaIsabel,Santiago,20.0,1.0,1.0,0.0,220000.0,False
ElBosqueParadero302D-1BSinestacionamiento.MetrosdeGranAvenida,ElBosque,52.0,2.0,1.0,0.0,410000.0,True
ArriendoDepto.2D+1BCercadeTodoMapocho/EntreRiosDirectoDueño,QuintaNormal,52.0,2.0,1.0,0.0,380000.0,True
50%DESCUENTOPRIMERMESDEARRIENDO/1DMETROSANALBERTOHURTADO,EstaciónCentral,34.0,1.0,1.0,0.0,260000.0,False
DESCUETO20%PRIMERMES/HOMESTUDIOMETROSANALBERTOHURTADO,EstaciónCentral,22.0,1.0,1.0,0.0,220000.0,False
DESCUENTO50%PRIMERMES/1DMETROUNIV.DESANTIAGO,EstaciónCentral,34.0,1.0,1.0,0.0,250000.0,False
ARRIENDODEPTO.STGO.S,Santiago,35.0,1.0,1.0,0.0,320000.0,True
Descuento50%Primermesdearriendo/depto1DmetroUnivdeSantiago,EstaciónCentral,35.0,1.0,1.0,0.0,250000.0,False
DEPTO2D1B+BOD/MET.UNIVERSIDADDESANTIAGO,EstaciónCentral,41.0,2.0,1.0,0.0,320000.0,False
DEPTO1D/METROECUADOR,EstaciónCentral,34.0,1.0,1.0,0.0,260000.0,False
Deptoensantiago,Santiago,52.0,2.0,1.0,0.0,370000.0,True
Departamento1D1B-EdificioLibertad,Santiago,35.0,1.0,1.0,0.0,308000.0,True
Departamento2Dormitorios-1Baño(EstaciónCentral),EstaciónCentral,38.0,2.0,1.0,0.0,320000.0,False
DepartamentoMariposa2Dormitorios-2Baños(MetroToesca),Santiago,54.0,2.0,2.0,0.0,440000.0,False
DepartamentoenSantaPetronila,EstaciónCentral,45.0,2.0,1.0,0.0,380000.0,False
DepartamentoenNuncioLaghi,Ñuñoa,70.0,2.0,2.0,1.0,862048.0,False
DepartamentoenAvenidaDepartamental,Cerrillos,55.0,2.0,2.0,0.0,500000.0,False
DepartamentoenArturoPrat,Santiago,37.0,1.0,1.0,0.0,350000.0,False
DepartamentoenLosTrigales,LasCondes,72.0,2.0,2.0,2.0,1136336.0,False
DepartamentoenMorandé,Santiago,38.0,1.0,1.0,0.0,350000.0,False
DepartamentoenArgomedo,Santiago,55.0,2.0,2.0,1.0,550000.0,False
DepartamentoenAvenidalosLibertadores,Huechuraba,51.0,3.0,1.0,1.0,650000.0,False
DepartamentoenAvenidaCarlosValdovinos,SanJoaquín,70.0,3.0,2.0,1.0,575000.0,False
DepartamentoenAvenidaMapocho,QuintaNormal,30.0,1.0,1.0,0.0,310000.0,False
DepartamentoenAvenidaPadreAlbertoHurtado,EstaciónCentral,37.0,2.0,2.0,0.0,350000.0,False
DepartamentoenArgomedo,Santiago,35.0,1.0,1.0,0.0,350000.0,False
DepartamentoenElUlmo,Cerrillos,28.0,1.0,1.0,0.0,240000.0,False
DepartamentoenElUlmo,Cerrillos,30.0,1.0,1.0,0.0,240000.0,False
DepartamentoenSantaPetronila,EstaciónCentral,48.0,2.0,1.0,1.0,365000.0,False
DepartamentoenAvenidaSantaRosa,Santiago,55.0,2.0,2.0,1.0,450000.0,False
DepartamentoenAvenidaIrarrázaval,Ñuñoa,39.0,1.0,1.0,1.0,683000.0,False
DepartamentoenEstaciónCentral,EstaciónCentral,53.0,2.0,1.0,1.0,320000.0,False
DepartamentoenSanGumercindo,EstaciónCentral,35.0,1.0,1.0,0.0,275000.0,False
DepartamentoenRivas,SanMiguel,50.0,2.0,1.0,0.0,400000.0,False
DepartamentoenUrmeneta,Recoleta,55.0,3.0,1.0,0.0,431024.0,False
DepartamentoenArauco,Santiago,55.0,2.0,2.0,1.0,490000.0,False
DepartamentoenSantaIsabel,Santiago,46.0,2.0,2.0,0.0,540000.0,False
DepartamentoenAvenidaMacul,Macul,90.0,3.0,2.0,1.0,650000.0,False
DepartamentoenEleuterioRamírez,Santiago,38.0,1.0,1.0,0.0,325000.0,False
DepartamentoenGarcíaReyes,Santiago,42.0,1.0,1.0,0.0,335000.0,False
DepartamentoenSanIsidro,Santiago,35.0,1.0,1.0,0.0,300000.0,False
DepartamentoenSargentoAldea,Santiago,40.0,2.0,2.0,0.0,430000.0,False
DepartamentoenZañartu,Ñuñoa,30.0,1.0,1.0,1.0,415000.0,False
